Reference	Year	DOI	PMID	Category	File Address
"Effects of charybdotoxin on K+ channel (KV1.2) deactivation and inactivation kinetics. (Sprunger LK; Stewig NJ; O'Grady SM. Eur. J. Pharmacol., 314(3):357-64)"	1996	10.1016/S0014-2999(96)00556-0	8957259	Electrophysiology	
"Cloning and expression of a rat cardiac delayed rectifier potassium channel. (Paulmichl M; Nasmith P; Hellmiss R; Reed K; Boyle WA; Nerbonne JM; Peralta EG; Clapham DE. Proc. Natl. Acad. Sci. U.S.A., 88(17):7892-5)"	1991	10.1073/pnas.88.17.7892	1715584	Electrophysiology	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC52410/
"Cloning and expression of a Kv1.2 class delayed rectifier K+ channel from canine colonic smooth muscle. (Hart PJ; Overturf KE; Russell SN; Carl A; Hume JR; Sanders KM; Horowitz B. Proc. Natl. Acad. Sci. U.S.A., 90(20):9659-63)"	1993	10.1073/pnas.90.20.9659	8415758	Electrophysiology	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC47629/pdf/pnas01527-0434.pdf
"Suppression of two cloned smooth muscle-derived delayed rectifier potassium channels by cholinergic agonists and phorbol esters. (Vogalis F; Ward M; Horowitz B. Mol. Pharmacol., 48(6):1015-23)"	1995		8848000	Electrophysiology	
"A potassium channel gene is expressed at neural induction. (Ribera AB. Neuron, 5(5):691-701)"	1990	10.1016/0896-6273(90)90223-3	2223094	Electrophysiology	
"Molecular cloning of a glibenclamide-sensitive, voltage-gated potassium channel expressed in rabbit kidney. (Yao X; Chang AY; Boulpaep EL; Segal AS; Desir GV. J. Clin. Invest., 97(11):2525-33)"	1996	10.1172/JCI118700	8647945	Electrophysiology	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC507338/pdf/972525.pdf
"Characterization and functional expression of a rat genomic DNA clone encoding a lymphocyte potassium channel. (Douglass J; Osborne PB; Cai YC; Wilkinson M; Christie MJ; Adelman JP. J. Immunol., 144(12):4841-50)"	1990		2351830	Electrophysiology	
"Characterization and functional expression of genomic DNA encoding the human lymphocyte type n potassium channel. (Cai YC; Osborne PB; North RA; Dooley DC; Douglass J. DNA Cell Biol., 11(2):163-72)"	1992	10.1089/dna.1992.11.163	1547020	Electrophysiology	
"Cloning and characterization of an Ito-like potassium channel from ferret ventricle. (Comer MB; Campbell DL; Rasmusson RL; Lamson DR; Morales MJ; Zhang Y; Strauss HC. Am. J. Physiol., 267(4 Pt 2):H1383-95)"	1994		7943383	Electrophysiology	
"Effect of Cd2+ on Kv4.2 and Kv1.4 expressed in Xenopus oocytes and on the transient outward currents in rat and rabbit ventricular myocytes. (Wickenden AD; Tsushima RG; Losito VA; Kaprielian R; Backx PH. Cell. Physiol. Biochem., 9(1):11-28)"	1999		10352341	Electrophysiology	http://www.karger.com/?DOI=16299
"Molecular cloning and functional expression of a potassium channel cDNA isolated from a rat cardiac library. (Tseng-Crank JC; Tseng GN; Schwartz A; Tanouye MA. FEBS Lett., 268(1):63-8)"	1990	10.1016/0014-5793(90)80973-M	2384173	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1016/0014-5793(90)80973-M/pdf
"Genomic organization, nucleotide sequence, biophysical properties, and localization of the voltage-gated K+ channel gene KCNA4/Kv1.4 to mouse chromosome 2/human 11p14 and mapping of KCNC1/Kv3.1 to mouse 7/human 11p14.3-p15.2 and KCNA1/Kv1.1 to human 12p13. (Wymore RS; Korenberg JR; Kinoshita KD; Aiyar J; Coyne C; Chen XN; Hustad CM; Copeland NG; Gutman GA; Jenkins NA. Genomics, 20(2):191-202)"	1994	10.1006/geno.1994.1153	8020965	Electrophysiology	
"The voltage-dependent K+ channel (Kv1.5) cloned from rabbit heart and facilitation of inactivation of the delayed rectifier current by the rat beta subunit. (Sasaki Y; Ishii K; Nunoki K; Yamagishi T; Taira N. FEBS Lett., 372(1):20-4)"	1995	10.1016/0014-5793(95)00954-8	7556635	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1016/0014-5793(95)00954-8/pdf
"Inhibitory effects of cortisone and hydrocortisone on human Kv1.5 channel currents. (Yu J; Park MH; Jo SH. Eur. J. Pharmacol., 746:158-66)"	2015	10.1016/j.ejphar.2014.11.007	25449034	Electrophysiology	
"Cloning and expression of cDNA and genomic clones encoding three delayed rectifier potassium channels in rat brain. (Swanson R; Marshall J; Smith JS; Williams JB; Boyle MB; Folander K; Luneau CJ; Antanavage J; Oliva C; Buhrow SA. Neuron, 4(6):929-39)"	1990		2361015	Electrophysiology	
"Electrophysiological characterization of a new member of the RCK family of rat brain K+ channels. (Kirsch GE; Drewe JA; Verma S; Brown AM; Joho RH. FEBS Lett., 278(1):55-60)"	1991	10.1016/0014-5793(91)80082-E	1993474	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1016/0014-5793(91)80082-E/pdf
"Genomic organization, chromosomal localization, tissue distribution, and biophysical characterization of a novel mammalian Shaker-related voltage-gated potassium channel, Kv1.7. (Kalman K; Nguyen A; Tseng-Crank J; Dukes ID; Chandy G; Hustad CM; Copeland NG; Jenkins NA; Mohrenweiser H; Brandriff B; Cahalan M; Gutman GA; Chandy KG. J. Biol. Chem., 273(10):5851-7)"	1998		9488722	Genomics	
"Molecular and Functional Differences between Heart mKv1.7 Channel Isoforms. (Finol-Urdaneta RK; StrÌ_ver N; Terlau H. J. Gen. Physiol., 128(1):133-45)"	2006	10.1085/jgp.200609498	16801386	Electrophysiology	http://jgp.rupress.org/content/128/1/133.long
"A mouse brain homolog of the Drosophila Shab K+ channel with conserved delayed-rectifier properties. (Pak MD; Covarrubias M; Ratcliffe A; Salkoff L. J. Neurosci., 11(3):869-80)"	1991		2002364	Genomics	
"Shaker, Shal, Shab, and Shaw express independent K+ current systems. (Covarrubias M; Wei AA; Salkoff L. Neuron, 7(5):763-73)"	1991		1742024	Electrophysiology	
"K+ current diversity is produced by an extended gene family conserved in Drosophila and mouse. (Wei A; Covarrubias M; Butler A; Baker K; Pak M; Salkoff L. Science, 248(4955):599-603)"	1990	10.1126/science.2333511	2333511	Electrophysiology	
"Ultrafast inactivation causes inward rectification in a voltage-gated K(+) channel from Caenorhabditis elegans. (Fleischhauer R; Davis MW; Dzhura I; Neely A; Avery L; Joho RH. J. Neurosci., 20(2):511-20)"	2000		10632580	Electrophysiology	http://www.jneurosci.org/content/jneuro/20/2/511.full.pdf
"RNA editing generates a diverse array of transcripts encoding squid Kv2 K+ channels with altered functional properties. (Patton DE; Silva T; Bezanilla F. Neuron, 19(3):711-22)"	1997	10.1016/S0896-6273(00)80383-9	9331360	Electrophysiology	http://www.cell.com/neuron/fulltext/S0896-6273(00)80383-9
"A Shab potassium channel contributes to action potential broadening in peptidergic neurons. (Quattrocki EA; Marshall J; Kaczmarek LK. Neuron, 12(1):73-86)"	1994	10.1016/0896-6273(94)90153-8	8292361	Electrophysiology	
"Xenopus spinal neurons express Kv2 potassium channel transcripts during embryonic development. (Burger C; Ribera AB. J. Neurosci., 16(4):1412-21)"	1996		8778292	Electrophysiology	http://www.jneurosci.org/content/16/4/1412.long
"Kv2.1/Kv9.3, a novel ATP-dependent delayed-rectifier K+ channel in oxygen-sensitive pulmonary artery myocytes. (Patel AJ; Lazdunski M; HonorÌ© E. EMBO J., 16(22):6615-25)"	1997	10.1093/emboj/16.22.6615	9362476	Electrophysiology	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1170266/pdf/006615.pdf
"Alteration and restoration of K+ channel function by deletions at the N- and C-termini. (VanDongen AM; Frech GC; Drewe JA; Joho RH; Brown AM. Neuron, 5(4):433-43)"	1990	10.1016/0896-6273(90)90082-Q	2206531	Electrophysiology	
"Molecular cloning and functional characterization of a novel delayed rectifier potassium channel from channel catfish (Ictalurus punctatus): expression in taste buds. (Kang J; Teeter JH; Brazier SP; Nguyen ND; Chang CC; Puchalski RB. J. Neurochem., 76(5):1465-74)"	2001	10.1046/j.1471-4159.2001.00137.x	11238731	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1046/j.1471-4159.2001.00137.x/full
"Molecular identification of a component of delayed rectifier current in gastrointestinal smooth muscles. (Schmalz F; Kinsella J; Koh SD; Vogalis F; Schneider A; Flynn ER; Kenyon JL; Horowitz B. Am. J. Physiol., 274(5 Pt 1):G901-11)"	1998		9612272	Electrophysiology	http://ajpgi.physiology.org/content/274/5/G901.long
"Behavioral defects in C. elegans egl-36 mutants result from potassium channels shifted in voltage-dependence of activation. (Johnstone DB; Wei A; Butler A; Salkoff L; Thomas JH. Neuron, 19(1):151-64)"	1997	10.1016/S0896-6273(00)80355-4	9247271	Electrophysiology	http://www.cell.com/neuron/fulltext/S0896-6273(00)80355-4
"Characterization of a Shaw-related potassium channel family in rat brain. (Rettig J; Wunder F; Stocker M; Lichtinghagen R; Mastiaux F; Beckh S; Kues W; Pedarzani P; SchrÌ¦ter KH; Ruppersberg JP. EMBO J., 11(7):2473-86)"	1992		1378392	Electrophysiology	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC556722/pdf/emboj00092-0113.pdf
"The Shaw-related potassium channel gene, Kv3.1, on human chromosome 11, encodes the type l K+ channel in T cells. (Grissmer S; Ghanshani S; Dethlefs B; McPherson JD; Wasmuth JJ; Gutman GA; Cahalan MD; Chandy KG. J. Biol. Chem., 267(29):20971-9)"	1992		1400413	Electrophysiology	http://www.jbc.org/content/267/29/20971.long
"Potassium channels from NG108-15 neuroblastoma-glioma hybrid cells. Primary structure and functional expression from cDNAs. (Yokoyama S; Imoto K; Kawamura T; Higashida H; Iwabe N; Miyata T; Numa S. FEBS Lett., 259(1):37-42)"	1989	10.1016/0014-5793(89)81488-7	2599109	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1016/0014-5793(89)81488-7/pdf
"Molecular cloning of a member of a third class of Shaker-family K+ channel genes in mammals. (McCormack T; Vega-Saenz de Miera EC; Rudy B. Proc. Natl. Acad. Sci. U.S.A., 87(13):5227-31)"	1990		2367536	Electrophysiology	http://www.pnas.org/content/87/13/5227.long
"Cloning of ShIII (Shaw-like) cDNAs encoding a novel high-voltage-activating, TEA-sensitive, type-A K+ channel. (Vega-Saenz de Miera E; Moreno H; Fruhling D; Kentros C; Rudy B. Proc. Biol. Sci., 248(1321):9-18)"	1992	10.1098/rspb.1992.0036	1381835	Electrophysiology	
"A novel subunit for shal K+ channels radically alters activation and inactivation. (Jegla T; Salkoff L. J. Neurosci., 17(1):32-44)"	1997		8987734	Electrophysiology	http://www.jneurosci.org/content/17/1/32.long
"Cloning of a human cDNA expressing a high voltage-activating, TEA-sensitive, type-A K+ channel which maps to chromosome 1 band p21. (Rudy B; Sen K; Vega-Saenz de Miera E; Lau D; Ried T; Ward DC. J. Neurosci. Res., 29(3):401-12)"	1991	10.1002/jnr.490290316	1920536	Electrophysiology	
"Lobster shal: comparison with Drosophila shal and native potassium currents in identified neurons. (Baro DJ; Coniglio LM; Cole CL; Rodriguez HE; Lubell JK; Kim MT; Harris-Warrick RM. J. Neurosci., 16(5):1689-701)"	1996		8774437	Electrophysiology	http://www.jneurosci.org/content/16/5/1689.long
"Different effects of the Ca(2+)-binding protein, KChIP1, on two Kv4 subfamily members, Kv4.1 and Kv4.2. (Nakamura TY; Nandi S; Pountney DJ; Artman M; Rudy B; Coetzee WA. FEBS Lett., 499(3):205-9)"	2001	10.1016/S0014-5793(01)02560-1	11423117	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1016/S0014-5793(01)02560-1/full
"mShal, a subfamily of A-type K+ channel cloned from mammalian brain. (Pak MD; Baker K; Covarrubias M; Butler A; Ratcliffe A; Salkoff L. Proc. Natl. Acad. Sci. U.S.A., 88(10):4386-90)"	1991		2034678	Genomics	
"Remodelling inactivation gating of Kv4 channels by KChIP1, a small-molecular-weight calcium-binding protein. (Beck EJ; Bowlby M; An WF; Rhodes KJ; Covarrubias M. J. Physiol. (Lond.), 538(Pt 3):691-706)"	2002	10.1113/jphysiol.2001.013127	11826158	Electrophysiology	https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/11826158/
"Modulation of Kv4.2 channel expression and gating by dipeptidyl peptidase 10 (DPP10). (Jerng HH; Qian Y; Pfaffinger PJ. Biophys. J., 87(4):2380-96)"	2004	10.1529/biophysj.104.042358	15454437	Electrophysiology	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1304660/
"Functional characterization of RK5, a voltage-gated K+ channel cloned from the rat cardiovascular system. (Blair TA; Roberds SL; Tamkun MM; Hartshorne RP. FEBS Lett., 295(1-3):211-3)"	1991	10.1016/0014-5793(91)81420-D	1722463	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1016/0014-5793(91)81420-D/pdf
"Heterogeneous expression of KChIP2 isoforms in the ferret heart. (Patel SP; Campbell DL; Morales MJ; Strauss HC. J. Physiol. (Lond.), 539(Pt 3):649-56)"	2002		11897837	Genomics	
"Regulation of Kv4.3 voltage-dependent gating kinetics by KChIP2 isoforms. (Patel SP; Parai R; Parai R; Campbell DL. J. Physiol. (Lond.), 557(Pt 1):19-41)"	2004	10.1113/jphysiol.2003.058172	14724186	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1113/jphysiol.2003.058172/full
"Cloning and expression of the human kv4.3 potassium channel. (Dilks D; Ling HP; Cockett M; Sokol P; Numann R. J. Neurophysiol., 81(4):1974-7)"	1999		10200233	Electrophysiology	http://jn.physiology.org/cgi/pmidlookup?view=long&pmid=10200233
"Role of the Kv4.3 K+ channel in ventricular muscle. A molecular correlate for the transient outward current. (Dixon JE; Shi W; Wang HS; McDonald C; Yu H; Wymore RS; Cohen IS; McKinnon D. Circ. Res., 79(4):659-68)"	1996	10.1161/01.RES.79.4.659	8831489	Electrophysiology	http://circres.ahajournals.org/content/79/4/659.long
"Elimination of fast inactivation in Kv4 A-type potassium channels by an auxiliary subunit domain. (Holmqvist MH; Cao J; Hernandez-Pineda R; Jacobson MD; Carroll KI; Sung MA; Betty M; Ge P; Gilbride KJ; Brown ME; Jurman ME; Lawson D; Silos-Santiago I; Xie Y; Covarrubias M; Rhodes KJ; Distefano PS; An WF. Proc. Natl. Acad. Sci. U.S.A., 99(2):1035-40)"	2002	10.1073/pnas.022509299	11805342	Electrophysiology	http://www.pnas.org/content/99/2/1035.full.pdf
"A new class of noninactivating K+ channels from aplysia capable of contributing to the resting potential and firing patterns of neurons. (Zhao B; Rassendren F; Kaang BK; Furukawa Y; Kubo T; Kandel ER. Neuron, 13(5):1205-13)"	1994	10.1016/0896-6273(94)90058-2	7946357	Electrophysiology	
"KCNQ-like potassium channels in Caenorhabditis elegans. Conserved properties and modulation. (Wei AD; Butler A; Salkoff L. J. Biol. Chem., 280(22):21337-45)"	2005	10.1074/jbc.M502734200	15797864	Electrophysiology	http://www.jbc.org/content/280/22/21337.full
"KvLQT1, a voltage-gated potassium channel responsible for human cardiac arrhythmias. (Yang WP; Levesque PC; Little WA; Conder ML; Shalaby FY; Blanar MA. Proc. Natl. Acad. Sci. U.S.A., 94(8):4017-21)"	1997	10.1073/pnas.94.8.4017	9108097	Electrophysiology	http://www.pnas.org/content/94/8/4017.long
"Cloning and function of the rat colonic epithelial K+ channel KVLQT1. (Kunzelmann K; HÌ_bner M; Schreiber R; Levy-Holzman R; Garty H; Bleich M; Warth R; Slavik M; von Hahn T; Greger R. J. Membr. Biol., 179(2):155-64)"	2001	10.1007/s002320010045	11220365	Electrophysiology	
"K(V)LQT1 and lsK (minK) proteins associate to form the I(Ks) cardiac potassium current. (Barhanin J; Lesage F; Guillemare E; Fink M; Lazdunski M; Romey G. Nature, 384(6604):78-80)"	1996	10.1038/384078a0	8900282	Electrophysiology	
"Coassembly of K(V)LQT1 and minK (IsK) proteins to form cardiac I(Ks) potassium channel. (Sanguinetti MC; Curran ME; Zou A; Shen J; Spector PS; Atkinson DL; Keating MT. Nature, 384(6604):80-3)"	1996	10.1038/384080a0	8900283	Electrophysiology	
"Molecular and functional characterization of s-KCNQ1 potassium channel from rectal gland of Squalus acanthias. (Waldegger S; Fakler B; Bleich M; Barth P; Hopf A; Schulte U; Busch AE; Aller SG; Forrest JN; Greger R; Lang F. Pflugers Arch., 437(2):298-304)"	1999	10.1007/s004240050783	9929573	Electrophysiology	
"A potassium channel mutation in neonatal human epilepsy. (Biervert C; Schroeder BC; Kubisch C; Berkovic SF; Propping P; Jentsch TJ; Steinlein OK. Science, 279(5349):403-6)"	1998	10.1126/science.279.5349.403	9430594	Electrophysiology	
"Cloning and functional expression of rKCNQ2 K(+) channel from rat brain. (Jow F; Wang K. Brain Res. Mol. Brain Res., 80(2):269-78)"	2000	10.1016/S0169-328X(00)00146-7	11038262	Electrophysiology	
"KCNQ4, a novel potassium channel expressed in sensory outer hair cells, is mutated in dominant deafness. (Kubisch C; Schroeder BC; Friedrich T; LÌ_tjohann B; El-Amraoui A; Marlin S; Petit C; Jentsch TJ. Cell, 96(3):437-46)"	1999	10.1016/S0092-8674(00)80556-5	10025409	Electrophysiology	http://www.cell.com/cell/pdf/S0092-8674(00)80556-5.pdf
"Functional expression of two KvLQT1-related potassium channels responsible for an inherited idiopathic epilepsy. (Yang WP; Levesque PC; Little WA; Conder ML; Ramakrishnan P; Neubauer MG; Blanar MA. J. Biol. Chem., 273(31):19419-23)"	1998	10.1074/jbc.273.31.19419	9677360	Electrophysiology	http://www.jbc.org/content/273/31/19419.long
"Molecular cloning and functional expression of KCNQ5, a potassium channel subunit that may contribute to neuronal M-current diversity. (Lerche C; Scherer CR; Seebohm G; Derst C; Wei AD; Busch AE; Steinmeyer K. J. Biol. Chem., 275(29):22395-400)"	2000	10.1074/jbc.M002378200	10787416	Electrophysiology	http://www.jbc.org/content/275/29/22395.long
"Block of an ether-a-go-go-like K(+) channel by imipramine rescues egl-2 excitation defects in Caenorhabditis elegans. (Weinshenker D; Wei A; Salkoff L; Thomas JH. J. Neurosci., 19(22):9831-40)"	1999		10559392	Electrophysiology	http://jneurosci.org/content/jneuro/19/22/9831.full.pdf
"Ether-ÌÊ-go-go encodes a voltage-gated channel permeable to K+ and Ca2+ and modulated by cAMP. (BrÌ_ggemann A; Pardo LA; StÌ_hmer W; Pongs O. Nature, 365(6445):445-8)"	1993	10.1038/365445a0	7692301	Electrophysiology	
"Ether-ÌÊ-go-go family voltage-gated K+ channels evolved in an ancestral metazoan and functionally diversified in a cnidarian-bilaterian ancestor. (Li X; Martinson AS; Layden MJ; Diatta FH; Sberna AP; Simmons DK; Martindale MQ; Jegla TJ. J. Exp. Biol., 218(Pt 4):526-36)"	2015	10.1242/jeb.110080	25696816	Electrophysiology	http://jeb.biologists.org/content/218/4/526
"Mitosis-promoting factor-mediated suppression of a cloned delayed rectifier potassium channel expressed in Xenopus oocytes. (BrÌ_ggemann A; StÌ_hmer W; Pardo LA. Proc. Natl. Acad. Sci. U.S.A., 94(2):537-42)"	1997	10.1073/pnas.94.2.537	9012819	Electrophysiology	http://www.pnas.org/content/94/2/537.long
"Functional distinction of human EAG1 and EAG2 potassium channels. (SchÌ¦nherr R; Gessner G; LÌ¦ber K; Heinemann SH. FEBS Lett., 514(2-3):204-8)"	2002	10.1016/S0014-5793(02)02365-7	11943152	Electrophysiology	http://www.sciencedirect.com/science/article/pii/S0014579302023657
"Cloning of components of a novel subthreshold-activating K(+) channel with a unique pattern of expression in the cerebral cortex. (Saganich MJ; Vega-Saenz de Miera E; Nadal MS; Baker H; Coetzee WA; Rudy B. J. Neurosci., 19(24):10789-802)"	1999		10594062	Electrophysiology	http://www.jneurosci.org/cgi/pmidlookup?view=long&pmid=10594062
"A quantitative analysis of the activation and inactivation kinetics of HERG expressed in Xenopus oocytes. (Wang S; Liu S; Morales MJ; Strauss HC; Rasmusson RL. J. Physiol. (Lond.), 502 ( Pt 1):45-60)"	1997	10.1111/j.1469-7793.1997.045bl.x	9234196	Electrophysiology	http://onlinelibrary.wiley.com/doi/10.1111/j.1469-7793.1997.045bl.x/full
"Modulation of rat erg1, erg2, erg3 and HERG K+ currents by thyrotropin-releasing hormone in anterior pituitary cells via the native signal cascade. (Schledermann W; Wulfsen I; Schwarz JR; Bauer CK. J. Physiol. (Lond.), 532(Pt 1):143-63)"	2001		11283231	Electrophysiology	
"Identification of two nervous system-specific members of the erg potassium channel gene family. (Shi W; Wymore RS; Wang HS; Pan Z; Cohen IS; McKinnon D; Dixon JE. J. Neurosci., 17(24):9423-32)"	1997		9390998	Electrophysiology	http://jneurosci.org/content/17/24/9423.long
"Scholz, Eberhard P., et al. ""Biophysical properties of zebrafish ether-a-go-go related gene potassium channels."" Biochemical and biophysical research communications 381.2 (2009): 159-164."	2009	10.1016/j.bbrc.2009.02.042	19232322	Electrophysiology	
"Cloning of a mammalian elk potassium channel gene and EAG mRNA distribution in rat sympathetic ganglia. (Shi W; Wang HS; Pan Z; Wymore RS; Cohen IS; McKinnon D; Dixon JE. J. Physiol. (Lond.), 511 ( Pt 3):675-82)"	1998	10.1111/j.1469-7793.1998.675bg.x	9714851	Electrophysiology	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2231163/
"Distribution and functional properties of human KCNH8 (Elk1) potassium channels. (Zou A; Lin Z; Humble M; Creech CD; Wagoner PK; Krafte D; Jegla TJ; Wickenden AD. Am. J. Physiol., Cell Physiol., 285(6):C1356-66)"	2003	10.1152/ajpcell.00179.2003	12890647	Electrophysiology	http://ajpcell.physiology.org/content/285/6/C1356.long
"Functional analysis of a mouse brain Elk-type K+ channel. (Trudeau MC; Titus SA; Branchaw JL; Ganetzky B; Robertson GA. J. Neurosci., 19(8):2906-18)"	1999		10191308	Electrophysiology	http://jneurosci.org/content/19/8/2906.long
"Cloning and expression of an inwardly rectifying ATP-regulated potassium channel. (Ho K; Nichols CG; Lederer WJ; Lytton J; Vassilev PM; Kanazirska MV; Hebert SC. Nature, 362(6415):31-8)"	1993	10.1038/362031a0	7680431	Electrophysiology	
"Molecular cloning, functional expression and localization of a novel inward rectifier potassium channel in the rat brain. (Koyama H; Morishige K; Takahashi N; Zanelli JS; Fass DN; Kurachi Y. FEBS Lett., 341(2-3):303-7)"	1994		8137958	Electrophysiology	
"Primary structure and functional expression of a mouse inward rectifier potassium channel. (Kubo Y; Baldwin TJ; Jan YN; Jan LY. Nature, 362(6416):127-33)"	1993	10.1038/362127a0	7680768	Electrophysiology	
